Timestamp,WindowIndex,MeanSVM,MeanDeltaSVM,StdDeltaSVM,Status
2025-04-10 04:12:26.967,1,9.91,0.15,0.30,안전
2025-04-10 04:12:33.917,2,9.92,0.13,0.30,안전
