WindowIndex,MeanSVM,MeanDeltaSVM,StdDeltaSVM,Status
1,9.69,0.05,0.06,안전
2,9.68,0.04,0.03,안전
3,9.71,0.12,0.30,안전
4,9.70,0.13,0.31,안전
5,9.67,0.12,0.33,안전
6,9.68,0.11,0.32,안전
7,9.72,0.16,0.50,안전
8,9.73,0.16,0.50,안전
9,9.71,0.11,0.22,안전
10,9.90,0.60,1.30,안전
11,9.97,0.81,1.47,안전
12,9.83,0.56,0.92,안전
13,9.76,0.33,0.51,안전
14,9.79,0.36,0.64,안전
15,9.79,0.36,0.64,안전
16,9.74,0.12,0.10,안전
17,9.74,0.21,0.48,안전
18,9.74,0.40,0.60,안전
19,9.73,0.46,0.55,안전
20,9.73,0.50,0.77,안전
